iter	Passed	Remaining
0	5	498
1	9	466
2	14	470
3	19	474
4	28	532
5	34	540
6	39	520
7	45	522
8	48	491
9	51	461
10	53	432
11	55	408
12	57	385
13	59	368
14	62	352
15	64	337
16	66	323
17	68	310
18	70	300
19	72	290
20	74	278
21	75	267
22	76	256
23	77	246
24	79	237
25	80	228
26	81	221
27	82	213
28	84	206
29	85	199
30	86	192
31	87	186
32	89	180
33	90	175
34	91	170
35	92	164
36	93	159
37	94	154
38	96	150
39	97	145
40	98	141
41	99	137
42	101	134
43	101	129
44	103	126
45	104	122
46	105	118
47	106	115
48	107	112
49	108	108
50	110	105
51	111	102
52	112	99
53	113	96
54	114	94
55	116	91
56	117	88
57	118	85
58	119	83
59	120	80
60	122	78
61	123	75
62	124	73
63	125	70
64	127	68
65	129	66
66	131	64
67	132	62
68	133	60
69	135	57
70	136	55
71	137	53
72	138	51
73	140	49
74	141	47
75	142	45
76	143	42
77	144	40
78	145	38
79	146	36
80	147	34
81	149	32
82	150	30
83	151	28
84	153	27
85	154	25
86	156	23
87	157	21
88	158	19
89	159	17
90	161	15
91	162	14
92	163	12
93	164	10
94	165	8
95	167	6
96	168	5
97	169	3
98	170	1
99	171	0
